D:\PTT\front\src\pages\shops\jao-sua\Reports.tsx: line 115, col 7, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\jao-sua\Reports.tsx: line 233, col 40, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\jao-sua\Reports.tsx: line 245, col 43, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\jao-sua\Reports.tsx: line 251, col 43, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\jao-sua\Reports.tsx: line 257, col 43, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\jao-sua\Reports.tsx: line 332, col 28, Warning - Variable Assigned to Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\jao-sua\Sales.tsx: line 184, col 5, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\jao-sua\Sales.tsx: line 185, col 10, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\jao-sua\Sales.tsx: line 188, col 49, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\jao-sua\Sales.tsx: line 189, col 44, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\jao-sua\Sales.tsx: line 190, col 11, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\jiang\Reports.tsx: line 80, col 16, Warning - Variable Assigned to Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\jiang\Reports.tsx: line 114, col 7, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\jiang\Reports.tsx: line 232, col 40, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\jiang\Reports.tsx: line 244, col 43, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\jiang\Reports.tsx: line 250, col 43, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\jiang\Reports.tsx: line 256, col 43, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\jiang\Reports.tsx: line 331, col 28, Warning - Variable Assigned to Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\jiang\Sales.tsx: line 184, col 5, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\jiang\Sales.tsx: line 185, col 10, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\jiang\Sales.tsx: line 188, col 49, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\jiang\Sales.tsx: line 189, col 44, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\jiang\Sales.tsx: line 190, col 11, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\otop\Sales.tsx: line 162, col 39, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\otop\Settings.tsx: line 40, col 38, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\pung-ngee-chiang\Sales.tsx: line 147, col 5, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\pung-ngee-chiang\Sales.tsx: line 148, col 10, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\pung-ngee-chiang\Sales.tsx: line 151, col 49, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\pung-ngee-chiang\Sales.tsx: line 152, col 44, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\pung-ngee-chiang\Sales.tsx: line 153, col 11, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\quick\Reports.tsx: line 88, col 16, Warning - Variable Assigned to Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\quick\Reports.tsx: line 117, col 7, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\quick\Reports.tsx: line 241, col 40, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\quick\Reports.tsx: line 253, col 43, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\quick\Reports.tsx: line 260, col 43, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\quick\Reports.tsx: line 266, col 43, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\quick\Reports.tsx: line 272, col 43, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\quick\Reports.tsx: line 278, col 43, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\quick\Reports.tsx: line 299, col 28, Warning - Variable Assigned to Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\quick\Sales.tsx: line 183, col 5, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\quick\Sales.tsx: line 184, col 10, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\quick\Sales.tsx: line 187, col 49, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\quick\Sales.tsx: line 188, col 44, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\quick\Sales.tsx: line 189, col 11, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\seven-eleven\Reports.tsx: line 69, col 16, Warning - Variable Assigned to Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\seven-eleven\Reports.tsx: line 97, col 7, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\seven-eleven\Reports.tsx: line 228, col 28, Warning - Variable Assigned to Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\seven-eleven\Sales.tsx: line 170, col 5, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\seven-eleven\Sales.tsx: line 171, col 10, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\seven-eleven\Sales.tsx: line 174, col 49, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\seven-eleven\Sales.tsx: line 175, col 44, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\seven-eleven\Sales.tsx: line 176, col 11, Warning - Generic Object Injection Sink (security/detect-object-injection)

101 problems
